,value,timestamp_sensor
393,11.57,2020-05-27 00:50:01
394,11.55,2020-05-27 01:10:02
395,11.39,2020-05-27 01:30:02
396,11.31,2020-05-27 01:50:02
397,11.6,2020-05-27 02:10:02
398,11.63,2020-05-27 02:30:03
399,11.76,2020-05-27 02:50:03
400,11.75,2020-05-27 03:10:03
401,11.8,2020-05-27 03:30:03
402,11.85,2020-05-27 03:50:04
403,11.79,2020-05-27 04:10:04
404,12.19,2020-05-27 04:30:04
405,12.28,2020-05-27 04:50:04
406,12.47,2020-05-27 05:10:04
407,12.47,2020-05-27 05:30:05
408,12.48,2020-05-27 05:50:05
409,12.56,2020-05-27 06:10:05
410,12.65,2020-05-27 06:30:05
411,12.62,2020-05-27 06:50:06
412,12.81,2020-05-27 07:10:06
413,12.73,2020-05-27 07:30:06
414,12.51,2020-05-27 07:50:06
415,12.41,2020-05-27 08:10:07
416,12.8,2020-05-27 08:30:07
417,12.75,2020-05-27 08:50:07
418,12.88,2020-05-27 09:10:07
419,13.03,2020-05-27 09:30:08
420,12.98,2020-05-27 09:50:08
421,13.46,2020-05-27 10:10:08
422,13.05,2020-05-27 10:30:08
423,13.06,2020-05-27 10:50:09
424,13.44,2020-05-27 11:10:09
425,13.33,2020-05-27 11:30:09
426,13.0,2020-05-27 11:50:09
427,13.0,2020-05-27 12:10:09
428,13.01,2020-05-27 12:30:10
429,13.0,2020-05-27 12:50:10
430,12.99,2020-05-27 13:10:10
431,12.97,2020-05-27 13:30:10
432,12.88,2020-05-27 13:50:11
433,12.82,2020-05-27 14:10:11
434,13.02,2020-05-27 14:30:11
435,12.99,2020-05-27 14:50:11
436,13.29,2020-05-27 15:10:12
437,13.02,2020-05-27 15:30:12
438,11.47,2020-05-27 15:50:12
439,10.63,2020-05-27 16:10:12
440,10.15,2020-05-27 16:30:13
441,9.9,2020-05-27 16:50:13
442,9.9,2020-05-27 17:10:13
443,9.96,2020-05-27 17:30:13
444,9.83,2020-05-27 17:50:14
445,9.4,2020-05-27 18:10:14
446,9.3,2020-05-27 18:30:14
447,9.3,2020-05-27 18:50:14
448,9.11,2020-05-27 19:10:14
449,9.09,2020-05-27 19:30:15
450,10.25,2020-05-27 19:50:15
451,10.09,2020-05-27 20:10:15
452,10.21,2020-05-27 20:30:15
453,10.48,2020-05-27 20:50:16
454,10.63,2020-05-27 21:10:16
455,10.56,2020-05-27 21:30:16
456,10.41,2020-05-27 21:50:16
457,10.47,2020-05-27 22:10:16
458,10.52,2020-05-27 22:30:17
459,10.61,2020-05-27 22:50:17
460,10.81,2020-05-27 23:10:17
461,10.6,2020-05-27 23:30:17
462,10.81,2020-05-27 23:50:18
463,11.0,2020-05-28 00:10:18
464,10.73,2020-05-28 00:30:18
465,10.81,2020-05-28 00:50:18
466,10.87,2020-05-28 01:10:19
467,10.86,2020-05-28 01:30:19
468,10.9,2020-05-28 01:50:19
469,10.96,2020-05-28 02:10:19
470,11.02,2020-05-28 02:30:19
471,11.1,2020-05-28 02:50:20
472,11.18,2020-05-28 03:10:20
473,11.19,2020-05-28 03:30:20
474,11.19,2020-05-28 03:50:20
475,11.19,2020-05-28 04:10:21
476,11.2,2020-05-28 04:30:21
477,11.29,2020-05-28 04:50:21
478,11.3,2020-05-28 05:10:21
479,11.15,2020-05-28 05:30:22
480,11.22,2020-05-28 05:50:22
481,11.25,2020-05-28 06:10:22
482,11.45,2020-05-28 06:30:22
483,11.48,2020-05-28 06:50:22
484,11.5,2020-05-28 07:10:23
485,11.65,2020-05-28 07:30:23
486,11.73,2020-05-28 07:50:23
487,11.81,2020-05-28 08:10:23
488,11.88,2020-05-28 08:30:24
489,11.93,2020-05-28 08:50:24
490,11.94,2020-05-28 09:10:24
491,11.95,2020-05-28 09:30:24
492,11.96,2020-05-28 09:50:25
493,11.95,2020-05-28 10:10:25
494,11.97,2020-05-28 10:30:25
495,0.0,2020-05-28 11:24:58
496,12.22,2020-05-28 12:40:49
497,12.23,2020-05-28 13:00:49
498,12.28,2020-05-28 13:20:49
499,12.31,2020-05-28 13:40:50
500,12.23,2020-05-28 14:00:50
501,12.47,2020-05-28 14:20:50
502,12.26,2020-05-28 14:40:50
503,12.27,2020-05-28 15:00:51
504,12.44,2020-05-28 15:20:51
505,12.28,2020-05-28 15:40:51
506,12.35,2020-05-28 16:00:51
507,12.39,2020-05-28 16:20:51
508,12.39,2020-05-28 16:40:52
509,12.41,2020-05-28 17:00:52
510,12.39,2020-05-28 17:20:52
511,12.3,2020-05-28 17:40:52
512,12.28,2020-05-28 18:00:53
513,12.23,2020-05-28 18:20:53
514,12.22,2020-05-28 18:40:53
515,12.2,2020-05-28 19:00:53
516,12.29,2020-05-28 19:20:54
517,12.09,2020-05-28 19:40:54
518,11.99,2020-05-28 20:00:54
519,11.96,2020-05-28 20:20:54
520,11.85,2020-05-28 20:40:55
521,11.91,2020-05-28 21:00:55
522,11.63,2020-05-28 21:20:55
523,11.87,2020-05-28 21:40:55
524,11.81,2020-05-28 22:00:56
525,11.73,2020-05-28 22:20:56
526,11.71,2020-05-28 22:40:56
527,11.76,2020-05-28 23:00:56
528,11.68,2020-05-28 23:20:56
529,11.91,2020-05-28 23:40:57
530,11.82,2020-05-29 00:00:57
531,11.76,2020-05-29 00:20:57
532,11.84,2020-05-29 00:40:57
533,11.88,2020-05-29 01:00:58
534,11.92,2020-05-29 01:20:58
535,11.94,2020-05-29 01:40:58
536,11.93,2020-05-29 02:00:58
537,11.93,2020-05-29 02:20:59
538,11.96,2020-05-29 02:40:59
539,11.97,2020-05-29 03:00:59
540,12.02,2020-05-29 03:20:59
541,12.03,2020-05-29 03:40:59
542,12.03,2020-05-29 04:01:00
543,12.03,2020-05-29 04:21:00
544,12.03,2020-05-29 04:41:00
545,12.03,2020-05-29 05:01:00
546,12.03,2020-05-29 05:21:01
547,12.1,2020-05-29 05:41:01
548,12.15,2020-05-29 06:01:01
549,12.16,2020-05-29 06:21:01
550,12.18,2020-05-29 06:41:02
551,12.12,2020-05-29 07:01:02
552,12.19,2020-05-29 07:21:02
553,12.25,2020-05-29 07:41:02
554,12.47,2020-05-29 08:01:02
555,12.56,2020-05-29 08:21:03
556,12.62,2020-05-29 08:41:03
557,12.76,2020-05-29 09:01:03
558,12.93,2020-05-29 09:21:03
559,12.93,2020-05-29 09:41:04
560,12.92,2020-05-29 10:01:04
561,12.96,2020-05-29 10:21:04
562,12.98,2020-05-29 10:41:04
563,12.98,2020-05-29 11:01:05
564,12.98,2020-05-29 11:21:05
565,12.97,2020-05-29 11:41:05
566,12.97,2020-05-29 12:01:05
567,12.97,2020-05-29 12:21:06
568,12.99,2020-05-29 12:41:06
569,12.99,2020-05-29 13:01:06
570,13.0,2020-05-29 13:21:06
571,13.03,2020-05-29 13:41:07
572,13.03,2020-05-29 14:01:07
573,13.12,2020-05-29 14:21:07
574,13.14,2020-05-29 14:41:07
575,13.15,2020-05-29 15:01:08
576,13.05,2020-05-29 15:21:08
577,13.16,2020-05-29 15:41:08
578,13.06,2020-05-29 16:01:08
579,12.95,2020-05-29 16:21:08
580,12.56,2020-05-29 16:41:09
581,12.44,2020-05-29 17:01:09
582,12.48,2020-05-29 17:21:09
583,12.41,2020-05-29 17:41:09
584,12.38,2020-05-29 18:01:10
585,12.33,2020-05-29 18:21:10
