,value,timestamp_sensor
459,160.9,2020-05-27 22:50:17
460,160.75,2020-05-27 23:10:17
461,160.74,2020-05-27 23:30:17
462,160.4,2020-05-27 23:50:18
463,160.13,2020-05-28 00:10:18
464,160.52,2020-05-28 00:30:18
465,160.13,2020-05-28 00:50:18
466,158.62,2020-05-28 01:10:19
467,159.03,2020-05-28 01:30:19
468,159.2,2020-05-28 01:50:19
469,159.68,2020-05-28 02:10:19
470,159.24,2020-05-28 02:30:19
471,157.25,2020-05-28 02:50:20
472,156.44,2020-05-28 03:10:20
473,156.27,2020-05-28 03:30:20
474,156.25,2020-05-28 03:50:20
475,156.26,2020-05-28 04:10:21
476,155.87,2020-05-28 04:30:21
477,154.79,2020-05-28 04:50:21
478,155.04,2020-05-28 05:10:21
479,156.77,2020-05-28 05:30:22
480,155.53,2020-05-28 05:50:22
481,156.17,2020-05-28 06:10:22
482,155.53,2020-05-28 06:30:22
483,155.54,2020-05-28 06:50:22
484,155.68,2020-05-28 07:10:23
485,155.26,2020-05-28 07:30:23
486,155.98,2020-05-28 07:50:23
487,155.69,2020-05-28 08:10:23
488,156.06,2020-05-28 08:30:24
489,156.14,2020-05-28 08:50:24
490,156.0,2020-05-28 09:10:24
491,156.22,2020-05-28 09:30:24
492,155.82,2020-05-28 09:50:25
493,156.11,2020-05-28 10:10:25
494,155.94,2020-05-28 10:30:25
495,0.0,2020-05-28 11:24:58
496,171.7,2020-05-28 12:40:49
497,171.93,2020-05-28 13:00:49
498,171.95,2020-05-28 13:20:49
499,171.75,2020-05-28 13:40:50
500,171.86,2020-05-28 14:00:50
501,172.35,2020-05-28 14:20:50
502,172.26,2020-05-28 14:40:50
503,171.85,2020-05-28 15:00:51
504,171.65,2020-05-28 15:20:51
505,172.34,2020-05-28 15:40:51
506,171.92,2020-05-28 16:00:51
507,171.99,2020-05-28 16:20:52
508,172.07,2020-05-28 16:40:52
509,171.75,2020-05-28 17:00:52
510,171.77,2020-05-28 17:20:52
511,172.34,2020-05-28 17:40:52
512,171.9,2020-05-28 18:00:53
513,172.33,2020-05-28 18:20:53
514,172.29,2020-05-28 18:40:53
515,172.19,2020-05-28 19:00:53
516,172.28,2020-05-28 19:20:54
517,173.14,2020-05-28 19:40:54
518,172.82,2020-05-28 20:00:54
519,173.37,2020-05-28 20:20:54
520,173.1,2020-05-28 20:40:55
521,173.34,2020-05-28 21:00:55
522,175.2,2020-05-28 21:20:55
523,173.81,2020-05-28 21:40:55
524,173.84,2020-05-28 22:00:56
525,174.35,2020-05-28 22:20:56
526,174.52,2020-05-28 22:40:56
527,174.38,2020-05-28 23:00:56
528,174.91,2020-05-28 23:20:56
529,173.19,2020-05-28 23:40:57
530,173.89,2020-05-29 00:00:57
531,174.21,2020-05-29 00:20:57
532,173.61,2020-05-29 00:40:57
533,173.95,2020-05-29 01:00:58
534,173.71,2020-05-29 01:20:58
535,173.23,2020-05-29 01:40:58
536,173.62,2020-05-29 02:00:58
537,173.33,2020-05-29 02:20:59
538,175.55,2020-05-29 02:40:59
539,177.97,2020-05-29 03:00:59
540,182.3,2020-05-29 03:20:59
541,182.75,2020-05-29 03:41:00
542,182.14,2020-05-29 04:01:00
543,182.13,2020-05-29 04:21:00
544,182.1,2020-05-29 04:41:00
545,181.85,2020-05-29 05:01:00
546,181.51,2020-05-29 05:21:01
547,184.75,2020-05-29 05:41:01
548,185.21,2020-05-29 06:01:01
549,185.01,2020-05-29 06:21:01
550,185.15,2020-05-29 06:41:02
551,184.46,2020-05-29 07:01:02
552,184.62,2020-05-29 07:21:02
553,184.53,2020-05-29 07:41:02
554,184.12,2020-05-29 08:01:03
555,183.63,2020-05-29 08:21:03
556,183.64,2020-05-29 08:41:03
557,182.7,2020-05-29 09:01:03
558,181.3,2020-05-29 09:21:03
559,182.23,2020-05-29 09:41:04
560,182.05,2020-05-29 10:01:04
561,182.7,2020-05-29 10:21:04
